ITEM NO.,Quantity,Rate,Alt1,Alt2,Alt3,CONDITION
1817,129,1.2,1850.0,1851.0,1852.0,1000.0
1850,7350,2.5,None,None,None,1000.0
1851,7450,2.5,None,None,None,1000.0
1852,6000,2.7,None,None,None,1000.0
1853,6250,2.7,None,None,None,1000.0
1854,6850,2.7,None,None,None,1000.0
1855,7350,3.1,None,None,None,600.0
1856,7350,3.1,None,None,None,600.0
1857,5700,2.9,nan,nan,nan,1000.0
1858,6350,2.9,1859.0,1862.0,nan,1000.0
1859,5350,2.9,1858.0,1862.0,nan,1000.0
1860,3600,3.1,nan,nan,nan,600.0
1861,3350,3.1,None,None,None,600.0
1862,3600,3.25,None,None,None,600.0
1863,3450,3.25,None,None,None,600.0
1864,0,3.4,nan,nan,nan,600.0
1865,3350,3.5,None,None,None,600.0
1866,4600,3.5,None,None,None,600.0
1867,2850,3.9,nan,nan,nan,600.0
1868,3000,3.9,nan,nan,nan,600.0
1869,0,3.75,nan,nan,nan,600.0
1870,3100,3.9,None,None,None,600.0
1871,2100,3.75,None,None,None,600.0
1872,2350,3.8,None,None,None,600.0
1873,0,0.0,nan,nan,nan,0.0
1874,5600,3.9,None,None,None,600.0
1875,-100,3.9,None,None,None,600.0
1876,2700,4.1,None,None,None,600.0
1877,2600,4.1,None,None,None,600.0
1878,5600,4.1,None,None,None,600.0
1879,6000,4.5,None,None,None,600.0
1880,5350,4.6,1881.0,1882.0,nan,600.0
1881,7700,3.5,nan,nan,nan,600.0
1882,7350,3.5,None,None,None,600.0
1883,7650,3.5,None,None,None,600.0
1884,7450,3.5,None,None,None,600.0
1885,47400,1.8,None,None,None,1000.0
1886,52000,1.8,None,None,None,1000.0
1887,50400,1.8,None,None,None,1000.0
1888,51400,1.8,None,None,None,1000.0
1889,46200,1.8,None,None,None,1000.0
1890,48800,1.8,None,None,None,1000.0
1891,52000,1.8,None,None,None,1000.0
1892,49400,1.8,None,None,None,1000.0
1893,45400,1.8,None,None,None,1000.0
1894,23400,1.8,None,None,None,1000.0
1895,73300,2.9,None,None,None,1000.0
